id,Title,Permalink,"Portfolio Categories","Portfolio Tags",content_type,int_production_company,director,agency,year,video_id,photographer,record_label,rank_math_title,rank_math_focus_keyword
1393,"Morgan’s Spiced Rum 'A Sense of Adventure'",https://360films.co.za/portfolio/morgans-spiced-rum-a-sense-of-adventure/,"Orange Films",Commercials,commercials,"Knucklehead, London","Zak & Dan","KK Outlet, London",20090201,https://vimeo.com/1111753231,,,"Morgan’s Spiced Rum 'A Sense of Adventure'","previous commercials"
1394,"Pearle 'Blauw'",https://360films.co.za/portfolio/pearle-blauw/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Floris Kingma","LDV United, Antwerp",20090201,https://vimeo.com/1111753202,,,"Pearle 'Blauw'","previous commercials"
1395,"Jillz 'Cider'",https://360films.co.za/portfolio/jillz-cider/,"Orange Films",Commercials,commercials,"Fat Fred’s, Amsterdam","Matt Nee & Orlando Cubitt","Pink & Poodle, Amsterdam",20090201,https://vimeo.com/1111753155,,,"Jillz 'Cider'","previous commercials"
1396,"Pantene 'Phoenix II'",https://360films.co.za/portfolio/pantene-phoenix-ii/,"Orange Films",Commercials,commercials,"Forward Int, Prague","Frederic Potier","Grey Worldwide",20090201,https://vimeo.com/1111753111,,,"Pantene 'Phoenix II'","previous commercials"
1397,"Brico 'The Art Washer'",https://360films.co.za/portfolio/brico-the-art-washer/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Floris Kingma",TBWA,20090301,https://vimeo.com/1111753092,,,"Brico 'The Art Washer'","previous commercials"
1398,"Trident 'Tricky'",https://360films.co.za/portfolio/trident-tricky/,"Orange Films",Commercials,commercials,"Th2ng, London","Simon Cracknell","JWT, London",20090301,https://vimeo.com/1111753060,,,"Trident 'Tricky'","previous commercials"
1399,"Danske Bank 'Direct'",https://360films.co.za/portfolio/danske-bank-direct/,"Orange Films",Commercials,commercials,"Camp David, Stockholm","Adam Berg","DDB, Stockholm",20090301,https://vimeo.com/1111753028,,,"Danske Bank 'Direct'","previous commercials"
1400,"Canal+ 'Bank Robbery'",https://360films.co.za/portfolio/canal-bank-robbery/,"Orange Films",Commercials,commercials,"Camp David, Stockholm","Robert Jitzmark","Saatchi & Saatchi",20090301,https://vimeo.com/1111752980,,,"Canal+ 'Bank Robbery'","previous commercials"
1401,"Svenska Spel 'Kvittot'",https://360films.co.za/portfolio/svenska-spel-kvittot/,"Orange Films",Commercials,commercials,"Camp David, Stockholm",Marlind&Stein,"Forsman & Bodenfors, Gothenburg",20090401,https://vimeo.com/1111752935,,,"Svenska Spel 'Kvittot'","previous commercials"
1402,"Ramlösa 'Honesty is Glorious'",https://360films.co.za/portfolio/ramlosa-honesty-is-glorious/,"Orange Films",Commercials,commercials,"FLX, Stockholm","Felix Herngren & Fredrik Falck","Åkestam.Holst, Stockholm",20100201,https://vimeo.com/1111752887,,,"Ramlösa 'Honesty is Glorious'","previous commercials"
1403,"Pond’s Flawless Radiance 'The Diary'",https://360films.co.za/portfolio/ponds-flawless-radiance-the-diary/,"Orange Films",Commercials,commercials,"The Mob Film Co., London","Vadim Jean","Ogilvy & Mather, Asia Pacific",20100201,https://vimeo.com/1111752834,,,"Pond’s Flawless Radiance 'The Diary'","previous commercials"
1404,"FBTO 'Living Wishes Become True'",https://360films.co.za/portfolio/fbto-living-wishes-become-true/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Nic & Sune","LBI Lost Boys, Amsterdam",20100301,https://vimeo.com/1111752793,,,"FBTO 'Living Wishes Become True'","previous commercials"
1405,"Minute Maid 'Discover The Pulp'",https://360films.co.za/portfolio/minute-maid-discover-the-pulp/,"Orange Films",Commercials,commercials,"XYZ Studios, Melbourne","Stephen Watkins","Ogilvy & Mather, Singapore",20100401,https://vimeo.com/1111752750,,,"Minute Maid 'Discover The Pulp'","previous commercials"
1406,"Joyvalle 'Chalk Drawings'",https://360films.co.za/portfolio/joyvalle-chalk-drawings/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Francois Mercier","Edison  7Beaufort, Heverlee",20110301,https://vimeo.com/1111752712,,,"Joyvalle 'Chalk Drawings'","previous commercials"
1407,"Samsonite 'Campaign'",https://360films.co.za/portfolio/samsonite-campaign/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Inti Delahaye & Dirk Verheye","Saatchi & Saatchi, Strombeek",20120901,https://vimeo.com/1111752653,,,"Samsonite 'Campaign'","previous commercials"
1408,"Ampya	'All Music'",https://360films.co.za/portfolio/ampyaall-music/,"Orange Films",Commercials,commercials,"Embassy of Dreams, Munich",Kronck,"Sugar Ray",20130101,https://vimeo.com/1111752600,,,"Ampya	'All Music'","previous commercials"
1409,"Komercni Bank 'Surf Rental'",https://360films.co.za/portfolio/komercni-bank-surf-rental/,"Orange Films",Commercials,commercials,"Simple Film, Prague","Daniel Ruzicka","Havas Worldwide, Prague",20130201,https://vimeo.com/1111752547,,,"Komercni Bank 'Surf Rental'","previous commercials"
